# go2cs H10 dispatch plan -- MACHINE-READABLE. Generated by shardmap.py.
# Do not hand-edit: the driver recomputes #digest over the rows and refuses a mismatch.
#version	1
#basis	recon-basis.tsv (sha256 c3715b2332b5f1ef...)
#slice_cap_seconds	2400
#cooldown_seconds	600
#rows	424
#unscheduled	14
#projection	LOWER_BOUND	14 roster row(s) carry no measured t_r and are NOT in this plan
#digest	005aeab497fd35e8610a968117e1836dc68c753ba822e16eb1cee5845c77d39d
W	worker	slice	seq	package	t_r_i9_seconds	reserved
3	6850U R (R-LAPTOP)	2	27	hash/crc32	26	0
3	6850U R (R-LAPTOP)	2	28	net/url	26	0
3	6850U R (R-LAPTOP)	2	29	crypto/sha3	25	0
3	6850U R (R-LAPTOP)	2	30	go/version	25	0
3	6850U R (R-LAPTOP)	2	31	internal/profile	25	0
3	6850U R (R-LAPTOP)	2	32	encoding/asn1	24	0
3	6850U R (R-LAPTOP)	3	1	compress/lzw	23	0
3	6850U R (R-LAPTOP)	3	2	internal/diff	23	0
3	6850U R (R-LAPTOP)	3	3	cmp	22	0
3	6850U R (R-LAPTOP)	3	4	internal/coverage/pods	22	0
3	6850U R (R-LAPTOP)	3	5	testing/quick	22	0
3	6850U R (R-LAPTOP)	3	6	internal/coverage/cformat	21	0
3	6850U R (R-LAPTOP)	3	7	net/http/internal/ascii	21	0
3	6850U R (R-LAPTOP)	3	8	encoding/base64	20	0
3	6850U R (R-LAPTOP)	3	9	path	20	0
3	6850U R (R-LAPTOP)	3	10	image/color	19	0
3	6850U R (R-LAPTOP)	3	11	internal/synctest	18	0
3	i7-5820K (coordinator)	1	1	go/internal/gcimporter	337	0
3	i7-5820K (coordinator)	1	2	crypto/x509	200	0
3	i7-5820K (coordinator)	1	3	log/slog	119	0
3	i7-5820K (coordinator)	1	4	net/http/cookiejar	94	0
3	i7-5820K (coordinator)	1	5	crypto/internal/fips140test	73	0
3	i7-5820K (coordinator)	2	1	net/http/fcgi	58	0
3	i7-5820K (coordinator)	2	2	encoding/xml	53	0
3	i7-5820K (coordinator)	2	3	debug/buildinfo	48	0
3	i7-5820K (coordinator)	2	4	crypto/rand	46	0
3	i7-5820K (coordinator)	2	5	strings	43	0
3	i7-5820K (coordinator)	2	6	image/gif	40	0
3	i7-5820K (coordinator)	2	7	flag	36	0
3	i7-5820K (coordinator)	2	8	net/http/httptrace	35	0
3	i7-5820K (coordinator)	2	9	go/internal/srcimporter	34	0
3	i7-5820K (coordinator)	2	10	crypto/des	32	0
3	i7-5820K (coordinator)	2	11	os/signal	32	0
3	i7-5820K (coordinator)	2	12	log/slog/internal/buffer	31	0
3	i7-5820K (coordinator)	2	13	crypto/pbkdf2	30	0
3	i7-5820K (coordinator)	2	14	runtime/metrics	30	0
3	i7-5820K (coordinator)	2	15	internal/singleflight	29	0
3	i7-5820K (coordinator)	2	16	path/filepath	29	0
3	i7-5820K (coordinator)	2	17	internal/buildcfg	28	0
3	i7-5820K (coordinator)	2	18	crypto/elliptic	27	0
3	i7-5820K (coordinator)	2	19	hash/adler32	27	0
3	i7-5820K (coordinator)	2	20	internal/sysinfo	27	0
3	i7-5820K (coordinator)	2	21	encoding/hex	26	0
3	i7-5820K (coordinator)	2	22	internal/testenv	26	0
3	i7-5820K (coordinator)	2	23	crypto/sha256	25	0
3	i7-5820K (coordinator)	2	24	image/jpeg	25	0
3	i7-5820K (coordinator)	2	25	math	23	0
3	i7-5820K (coordinator)	3	1	slices	25	0
3	i7-5820K (coordinator)	3	2	internal/copyright	24	0
3	i7-5820K (coordinator)	3	3	crypto/internal/fips140deps	22	0
3	i7-5820K (coordinator)	3	4	net/http/internal	22	0
3	i7-5820K (coordinator)	3	5	html	21	0
3	i7-5820K (coordinator)	3	6	unicode/utf16	21	0
3	i7-5820K (coordinator)	3	7	internal/coverage/slicewriter	20	0
3	i7-5820K (coordinator)	3	8	unique	20	0
3	i7-5820K (coordinator)	3	9	net/internal/cgotest	18	0
4	i9-13900K (sweeper)	1	1	runtime	265	0
4	i9-13900K (sweeper)	1	2	crypto/x509	200	0
4	i9-13900K (sweeper)	1	3	go/parser	139	1
4	i9-13900K (sweeper)	1	4	testing/iotest	136	0
4	i9-13900K (sweeper)	1	5	archive/tar	128	0
4	i9-13900K (sweeper)	1	6	go/types	128	1
4	i9-13900K (sweeper)	1	7	net/http/cgi	106	0
4	i9-13900K (sweeper)	1	8	encoding/json	102	0
4	i9-13900K (sweeper)	1	9	index/suffixarray	96	1
4	i9-13900K (sweeper)	1	10	sync/atomic	92	1
4	i9-13900K (sweeper)	1	11	crypto/rsa	86	0
4	i9-13900K (sweeper)	1	12	reflect	86	0
4	i9-13900K (sweeper)	1	13	crypto/internal/fips140test	73	0
4	i9-13900K (sweeper)	1	14	crypto/cipher	62	0
4	i9-13900K (sweeper)	1	15	go/importer	62	0
